,ts,side,price,quantity
3218,1619199610205211,sell,1653.5432258064516,0.18414
3219,1619199610230117,buy,1653.5029032258064,0.05454
3220,1619199610264096,buy,1653.5029032258064,0.15552
3221,1619199610264098,buy,1653.5029032258064,0.7722
3222,1619199610372346,sell,1653.5025806451613,0.03564
3223,1619199610378194,sell,1653.5025806451613,0.00054
3224,1619199610428889,sell,1653.4732258064516,0.108
3225,1619199610477938,buy,1653.4735483870968,0.02322
3226,1619199610563733,sell,1653.4732258064516,0.03942
3227,1619199610563733,sell,1653.451612903226,0.0183599999999999
3228,1619199610563734,sell,1653.451612903226,0.05346
3229,1619199610563734,sell,1653.4190322580644,0.21276
3230,1619199610563884,sell,1653.3967741935485,0.216
3231,1619199610563886,sell,1653.396451612903,0.8494200000000001
3232,1619199610563887,sell,1653.396451612903,0.1674
3233,1619199610563925,sell,1653.3777419354838,0.02322
3234,1619199610563926,sell,1653.3529032258066,0.05724
3235,1619199610563927,sell,1653.3409677419354,0.0124199999999999
3236,1619199610563928,sell,1653.3206451612905,0.02268
3237,1619199610563929,sell,1653.3206451612905,2.35008
3238,1619199610602770,buy,1653.4735483870968,0.0248399999999999
3239,1619199610626325,sell,1653.4732258064516,0.216
3240,1619199610636733,buy,1653.4735483870968,3.105
3241,1619199610667923,buy,1653.4735483870968,0.0124199999999999
3242,1619199610710303,sell,1653.4732258064516,0.324
3243,1619199610710303,sell,1653.3161290322582,0.33318
3244,1619199610710304,sell,1653.3125806451617,0.1863
3245,1619199610815551,buy,1653.3212903225806,1.95318
3246,1619199610848617,sell,1653.3209677419354,0.37098
3247,1619199610870784,buy,1653.3212903225806,0.1128599999999999
3248,1619199610875432,buy,1653.3212903225806,0.01674
3249,1619199610942566,buy,1653.3212903225806,0.05832
3250,1619199611003764,buy,1653.3212903225806,0.0599399999999999
3251,1619199611013252,buy,1653.3212903225806,10.83618
3252,1619199611078250,buy,1653.4722580645162,0.01404
3253,1619199611092660,buy,1653.4038709677418,0.01728
3254,1619199611102051,buy,1653.4038709677418,0.12852
3255,1619199611124695,sell,1653.4035483870969,0.57402
3256,1619199611152563,buy,1653.4038709677418,0.02322
3257,1619199611187482,buy,1653.4038709677418,0.02538
3258,1619199611216657,sell,1653.4035483870969,0.09666
3259,1619199611329924,sell,1653.4732258064516,0.27918
3260,1619199611357777,buy,1653.4735483870968,3.4614000000000003
3261,1619199611357778,buy,1653.4735483870968,0.09072
3262,1619199611357778,buy,1653.4735483870968,0.54
3263,1619199611366899,buy,1653.5432258064516,0.03996
3264,1619199611451240,sell,1653.352258064516,0.16794
3265,1619199611464639,sell,1653.352258064516,0.25434
3266,1619199611464655,sell,1653.352258064516,0.54972
3267,1619199611484525,buy,1653.513870967742,0.5664600000000001
3268,1619199611484673,buy,1653.514193548387,3.57426
3269,1619199611487936,sell,1653.352258064516,0.0264599999999999
3270,1619199611700149,buy,1653.5129032258064,0.0383399999999999
3271,1619199611768948,buy,1653.4735483870968,0.15228
3272,1619199611869323,sell,1653.5125806451613,0.108
3273,1619199611910124,buy,1653.5129032258064,0.03402
3274,1619199612012630,sell,1653.5125806451613,0.13068
3275,1619199612075643,buy,1653.5129032258064,0.0566999999999999
3276,1619199612075644,buy,1653.5129032258064,0.1587599999999999
3277,1619199612166355,sell,1653.3532258064515,19.06416
3278,1619199612166362,sell,1653.3529032258066,0.8829
3279,1619199612166363,sell,1653.3129032258064,0.10044
3280,1619199612166364,sell,1653.312258064516,9.35442
3281,1619199612166758,sell,1653.3025806451612,0.02268
3282,1619199612166768,sell,1653.2909677419354,14.02758
3283,1619199612166769,sell,1653.2906451612905,21.6
3284,1619199612166769,sell,1653.2903225806451,1.31868
3285,1619199612250577,buy,1653.4367741935484,0.32886
3286,1619199612254607,buy,1653.4367741935484,0.2214
3287,1619199612259335,buy,1653.4367741935484,0.3418199999999999
3288,1619199612260607,buy,1653.4367741935484,0.89586
3289,1619199612280912,sell,1653.4364516129033,0.09126
3290,1619199612308633,buy,1653.4367741935484,0.0216
3291,1619199612316796,buy,1653.4367741935484,0.46818
3292,1619199612383561,sell,1653.4364516129033,0.4482
3293,1619199612405421,buy,1653.4367741935484,0.2484
3294,1619199612418335,buy,1653.4367741935484,2.7486
3295,1619199612458904,buy,1653.4367741935484,0.10044
3296,1619199612468206,sell,1653.4364516129033,0.00054
3297,1619199612468207,sell,1653.4038709677418,0.8742599999999999
3298,1619199612584428,sell,1653.4038709677418,0.0037799999999999
3299,1619199612584440,sell,1653.384516129032,0.2754
3300,1619199612614289,sell,1653.353548387097,0.87804
3301,1619199612617733,sell,1653.2903225806451,17.68392
3302,1619199612617780,sell,1653.2903225806451,0.03996
3303,1619199612626653,sell,1653.264193548387,0.02268
3304,1619199612626666,sell,1653.2609677419357,0.0248399999999999
3305,1619199612626825,sell,1653.2609677419357,0.0685799999999999
3306,1619199612626832,sell,1653.253870967742,0.02268
3307,1619199612626847,sell,1653.2222580645162,0.03348
3308,1619199612626853,sell,1653.22,0.0458999999999999
3309,1619199612626857,sell,1653.191612903226,0.01782
3310,1619199612626901,sell,1653.1754838709678,0.64152
3311,1619199612683874,buy,1653.1754838709678,0.01782
3312,1619199612707243,sell,1653.1751612903226,0.01944
3313,1619199612744049,buy,1653.165806451613,0.07128
3314,1619199612746694,buy,1653.165806451613,12.609
3315,1619199612774547,buy,1653.165806451613,0.27
3316,1619199612800552,sell,1653.1654838709676,1.84896
3317,1619199612802262,sell,1653.1648387096775,0.03888
3318,1619199612802292,sell,1653.164516129032,3.24
3319,1619199612802293,sell,1653.1612903225807,0.02592
3320,1619199612802305,sell,1653.16,0.03402
3321,1619199612802368,sell,1653.1490322580646,0.02322
3322,1619199612802374,sell,1653.1354838709676,7.04484
3323,1619199612809394,sell,1653.1354838709676,3.79242
3324,1619199612809796,sell,1653.1309677419354,0.02322
3325,1619199612809806,sell,1653.1293548387098,0.04374
3326,1619199612809840,sell,1653.1290322580646,0.0216
3327,1619199612809843,sell,1653.1290322580646,2.6244
3328,1619199612809852,sell,1653.1290322580646,1.46124
3329,1619199612809865,sell,1653.1290322580646,1.14858
3330,1619199612809870,sell,1653.1290322580646,12.40596
3331,1619199612809875,sell,1653.1290322580646,0.77274
3332,1619199612810534,sell,1653.1290322580646,0.04536
3333,1619199612810544,sell,1653.1290322580646,6.488639999999999
3334,1619199612814250,sell,1653.1290322580646,0.03186
3335,1619199612814254,sell,1653.1290322580646,0.05724
3336,1619199612814256,sell,1653.1290322580646,0.027
3337,1619199612814260,sell,1653.1290322580646,0.02268
3338,1619199612814261,sell,1653.1290322580646,0.01458
3339,1619199612814299,sell,1653.1290322580646,0.135
3340,1619199612814300,sell,1653.1290322580646,1.1469600000000002
3341,1619199612814305,sell,1653.1290322580646,0.4730399999999999
3342,1619199612814310,sell,1653.1290322580646,0.0162
3343,1619199612814313,sell,1653.1290322580646,0.01188
3344,1619199612814318,sell,1653.1290322580646,3.3777
3345,1619199612814878,sell,1653.1290322580646,0.0189
3346,1619199612814882,sell,1653.1290322580646,0.36072
3347,1619199612814883,sell,1653.1290322580646,0.57078
3348,1619199612814883,sell,1653.1290322580646,6.519419999999999
3349,1619199612814884,sell,1653.1290322580646,1.08
3350,1619199612814884,sell,1653.1290322580646,0.11448
3351,1619199612814885,sell,1653.1290322580646,0.01998
3352,1619199612814886,sell,1653.1290322580646,0.03402
3353,1619199612814886,sell,1653.1290322580646,0.0135
3354,1619199612814887,sell,1653.1290322580646,0.02106
3355,1619199612814887,sell,1653.1290322580646,0.01188
3356,1619199612814888,sell,1653.1290322580646,0.0378
3357,1619199612814888,sell,1653.1290322580646,0.0162
3358,1619199612814889,sell,1653.1290322580646,3.78
3359,1619199612814889,sell,1653.1290322580646,0.027
3360,1619199612814890,sell,1653.1290322580646,0.0324
3361,1619199612814891,sell,1653.1290322580646,0.17118
3362,1619199612814891,sell,1653.1290322580646,0.1549799999999999
3363,1619199612814892,sell,1653.1290322580646,0.02808
3364,1619199612814892,sell,1653.1290322580646,3.52188
3365,1619199612814893,sell,1653.1290322580646,0.11448
3366,1619199612814894,sell,1653.1290322580646,8.1
3367,1619199612814894,sell,1653.1290322580646,5.4
3368,1619199612814895,sell,1653.1290322580646,0.11448
3369,1619199612814896,sell,1653.1290322580646,1.0017
3370,1619199612816507,sell,1653.1290322580646,0.45846
3371,1619199612816507,sell,1653.1290322580646,0.01188
3372,1619199612816508,sell,1653.1290322580646,0.6744600000000001
3373,1619199612816508,sell,1653.1290322580646,0.16254
3374,1619199612816509,sell,1653.1290322580646,0.06318
3375,1619199612816509,sell,1653.1290322580646,0.12636
3376,1619199612816510,sell,1653.1290322580646,0.03186
3377,1619199612816510,sell,1653.1290322580646,0.11448
3378,1619199612816511,sell,1653.1290322580646,0.03726
3379,1619199612816511,sell,1653.1290322580646,0.28674
3380,1619199612816839,sell,1653.1290322580646,0.162
3381,1619199612816843,sell,1653.1290322580646,0.108
3382,1619199612816843,sell,1653.1290322580646,0.07722
3383,1619199612816844,sell,1653.1290322580646,0.02268
3384,1619199612816845,sell,1653.1290322580646,0.0917999999999999
3385,1619199612816845,sell,1653.1290322580646,0.02592
3386,1619199612816846,sell,1653.1290322580646,0.05832
3387,1619199612817076,sell,1653.1290322580646,0.17388
3388,1619199612817078,sell,1653.1290322580646,0.0324
3389,1619199612817079,sell,1653.1290322580646,0.01188
3390,1619199612817080,sell,1653.1290322580646,0.0243
3391,1619199612817081,sell,1653.1290322580646,0.02376
3392,1619199612817082,sell,1653.1290322580646,0.96768
3393,1619199612817083,sell,1653.1290322580646,0.05886
3394,1619199612817084,sell,1653.1290322580646,0.5734800000000001
3395,1619199612817085,sell,1653.1290322580646,0.2295
3396,1619199612817085,sell,1653.1290322580646,2.16
3397,1619199612817086,sell,1653.1290322580646,0.11448
3398,1619199612817087,sell,1653.1290322580646,0.09882
3399,1619199612817088,sell,1653.1290322580646,0.01188
3400,1619199612817088,sell,1653.1290322580646,0.459
3401,1619199612817089,sell,1653.1290322580646,0.04752
3402,1619199612817090,sell,1653.1290322580646,0.2295
3403,1619199612817091,sell,1653.1290322580646,0.57402
3404,1619199612817091,sell,1653.1290322580646,0.0275399999999999
3405,1619199612817092,sell,1653.1290322580646,0.50976
3406,1619199612817093,sell,1653.1290322580646,0.57402
3407,1619199612817094,sell,1653.1290322580646,0.01188
3408,1619199612817094,sell,1653.1290322580646,15.37704
3409,1619199612817095,sell,1653.1290322580646,0.0135
3410,1619199612817096,sell,1653.1290322580646,0.01188
3411,1619199612817096,sell,1653.1290322580646,0.57402
3412,1619199612818388,sell,1653.1290322580646,0.0297
3413,1619199612818395,sell,1653.1290322580646,0.03996
3414,1619199612818403,sell,1653.1290322580646,0.01674
3415,1619199612818411,sell,1653.1290322580646,0.57402
3416,1619199612818413,sell,1653.1290322580646,0.216
3417,1619199612818423,sell,1653.1290322580646,0.0599399999999999
3418,1619199612818451,sell,1653.1290322580646,0.0183599999999999
3419,1619199612818452,sell,1653.1290322580646,1.3176
3420,1619199612818453,sell,1653.1290322580646,0.02268
3421,1619199612818453,sell,1653.1290322580646,0.2203199999999999
3422,1619199612818454,sell,1653.1290322580646,3.7422
3423,1619199612818455,sell,1653.1290322580646,0.11448
3424,1619199612818461,sell,1653.1290322580646,1.4466599999999998
3425,1619199612818474,sell,1653.1290322580646,0.5156999999999999
3426,1619199612818481,sell,1653.1290322580646,0.11448
3427,1619199612818533,sell,1653.1290322580646,0.45792
3428,1619199612818536,sell,1653.1290322580646,5.238
3429,1619199612818537,sell,1653.1290322580646,5.4
3430,1619199612818538,sell,1653.1290322580646,1.72314
3431,1619199612818544,sell,1653.1290322580646,0.22896
3432,1619199612818551,sell,1653.1287096774192,2.04012
3433,1619199612819004,sell,1653.1287096774192,0.01188
3434,1619199612819014,sell,1653.1287096774192,0.324
3435,1619199612819015,sell,1653.1287096774192,0.054
3436,1619199612819016,sell,1653.1141935483872,0.67662
3437,1619199612819018,sell,1653.089032258065,1.35
3438,1619199612819019,sell,1653.0545161290324,0.02538
3439,1619199612838254,sell,1653.0425806451613,0.0162
3440,1619199612842390,sell,1653.011935483871,0.0135
3441,1619199612842601,sell,1652.9906451612903,0.03456
3442,1619199612842609,sell,1652.983870967742,0.0486
3443,1619199612842610,sell,1652.9816129032258,0.9909
3444,1619199612842737,sell,1652.9816129032258,0.03564
3445,1619199612842758,sell,1652.9809677419355,0.0135
3446,1619199612842760,sell,1652.9774193548387,0.01188
3447,1619199612842761,sell,1652.9770967741936,0.09828
3448,1619199612842762,sell,1652.9709677419355,1.242
3449,1619199612842763,sell,1652.960322580645,0.05562
3450,1619199612843229,sell,1652.9574193548387,0.01296
3451,1619199612843235,sell,1652.9435483870968,6.6744
3452,1619199612880200,buy,1652.9670967741936,0.26676
3453,1619199612925160,buy,1652.9435483870968,0.26676
3454,1619199612976498,buy,1652.9435483870968,0.01674
3455,1619199612983578,buy,1652.9435483870968,0.01674
